symbol,date,marketCap
AZPN,2023-03-13,13846257240
AZPN,2023-03-10,13874119520
AZPN,2023-03-09,14138487200
AZPN,2023-03-08,14043237080
AZPN,2023-03-07,13844961320
AZPN,2023-03-06,14099609600
AZPN,2023-03-03,14274558800
AZPN,2023-03-02,14152742320
AZPN,2023-03-01,13903925680
AZPN,2023-02-28,13737399960
AZPN,2023-02-27,13958354320
AZPN,2023-02-24,13907813440
AZPN,2023-02-23,14143022920
AZPN,2023-02-22,14006951320
AZPN,2023-02-21,13731568320
AZPN,2023-02-17,13863104200
AZPN,2023-02-16,13813859240
AZPN,2023-02-15,14037405440
AZPN,2023-02-14,13923364480
AZPN,2023-02-13,13701114200
AZPN,2023-02-10,13378430120
AZPN,2023-02-09,13466552680
AZPN,2023-02-08,13563098720
AZPN,2023-02-07,13714721360
AZPN,2023-02-06,13403700560
AZPN,2023-02-03,13006501080
AZPN,2023-02-02,13227455440
AZPN,2023-02-01,13401108720
AZPN,2023-01-31,12878205000
AZPN,2023-01-30,12681225160
AZPN,2023-01-27,12359837000
AZPN,2023-01-26,12297632840
AZPN,2023-01-25,12587918920
AZPN,2023-01-24,12845807000
AZPN,2023-01-23,12905419320
AZPN,2023-01-20,12735653800
AZPN,2023-01-19,12555520920
AZPN,2023-01-18,12648179200
AZPN,2023-01-17,13261149360
AZPN,2023-01-13,13007149040
AZPN,2023-01-12,13171730880
AZPN,2023-01-11,13355103560
AZPN,2023-01-10,13093327720
AZPN,2023-01-09,13068057280
AZPN,2023-01-06,13033067440
AZPN,2023-01-05,12959847960
AZPN,2023-01-04,13349271920
AZPN,2023-01-03,13364822960
AZPN,2022-12-30,13273153194
AZPN,2022-12-29,13287369814
AZPN,2022-12-28,12954571669
AZPN,2022-12-27,13026947188
AZPN,2022-12-23,13067012207
AZPN,2022-12-22,13222102605
AZPN,2022-12-21,13202070095
AZPN,2022-12-20,13143264986
AZPN,2022-12-19,12922261170
AZPN,2022-12-16,12995929108
AZPN,2022-12-15,13329373463
AZPN,2022-12-14,13677034438
AZPN,2022-12-13,14030511302
AZPN,2022-12-12,13888991315
AZPN,2022-12-09,14025987832
AZPN,2022-12-08,14497074915
AZPN,2022-12-07,14608223033
AZPN,2022-12-06,14228897769
AZPN,2022-12-05,14853136620
AZPN,2022-12-02,15508393550
AZPN,2022-12-01,15476083050
AZPN,2022-11-30,14895140269
AZPN,2022-11-29,14153291200
AZPN,2022-11-28,14912587939
AZPN,2022-11-25,15746845036
AZPN,2022-11-23,15492884510
AZPN,2022-11-22,15421801411
AZPN,2022-11-21,14927450769
AZPN,2022-11-18,15499992820
AZPN,2022-11-17,15599509158
AZPN,2022-11-16,15932953513
AZPN,2022-11-15,16041516791
AZPN,2022-11-14,15399830271
AZPN,2022-11-11,15490945880
AZPN,2022-11-10,15218245264
AZPN,2022-11-09,14424053186
AZPN,2022-11-08,14617269973
AZPN,2022-11-07,14694168962
AZPN,2022-11-04,15057338976
AZPN,2022-11-03,15370750822
AZPN,2022-11-02,15238277774
AZPN,2022-11-01,15571722129
AZPN,2022-10-31,15602740208
AZPN,2022-10-28,15545873729
AZPN,2022-10-27,15238277774
AZPN,2022-10-26,16051856151
AZPN,2022-10-25,16325202977
AZPN,2022-10-24,16140386920
AZPN,2022-10-21,16390470186
AZPN,2022-10-20,15916152053
AZPN,2022-10-19,16083520441
AZPN,2022-10-18,16349112747
AZPN,2022-10-17,16305816677
AZPN,2022-10-14,15641512807
AZPN,2022-10-13,16208238969
AZPN,2022-10-12,15775924485
AZPN,2022-10-11,15969787482
AZPN,2022-10-10,16142325550
AZPN,2022-10-07,16375607356
AZPN,2022-10-06,16410502696
AZPN,2022-10-05,16557838573
AZPN,2022-10-04,16158480799
AZPN,2022-10-03,15715180746
